"left sensor","right sensor","left ultrasound sensor","right ultrasound sensor","left motor","right motor"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.03","0.0","0.0","80","70"
"0.02","0.04","0.0","0.0","90","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.05","0.0","0.0","100","70"
"0.02","0.07","0.0","0.0","120","70"
"0.02","0.09","0.0","0.0","140","70"
"0.03","0.11","0.0","0.0","160","80"
"0.03","0.13","0.0","0.0","180","80"
"0.03","0.15","0.0","0.0","200","80"
"0.04","0.16","0.0","0.0","210","90"
"0.04","0.17","0.0","0.0","220","90"
"0.05","0.17","0.0","0.0","220","100"
"0.05","0.17","0.0","0.0","220","100"
"0.05","0.17","0.0","0.0","220","100"
"0.06","0.18","0.0","0.0","229","110"
"0.06","0.17","0.0","0.0","220","110"
"0.05","0.18","0.0","0.0","229","100"
"0.04","0.17","0.0","0.0","220","90"
"0.02","0.17","0.0","0.0","220","70"
"0.02","0.16","0.0","0.0","210","70"
